Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position
133105-103506,TE,Nick,Nick Kallerup,Kallerup,0.0,3,1000,1500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,1000,1500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-231015,WR,Cameron,Cameron Dorner,Dorner,,0,1000,1500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-138220,WR,Montorie,Montorie Foster Jr.,Foster Jr.,,0,1000,1500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-138221,WR,Ricky,Ricky White III,White III,,0,1000,1500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-185850,TE,Julian,Julian Hill,Hill,2.136363636363636,11,1000,1500,NE@SEA,NE,SEA,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
133105-157051,TE,Tanner,Tanner Arkin,Arkin,,0,1000,1500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-129147,WR,John,John Saunders Jr.,Saunders Jr.,,0,1000,1500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-156152,WR,Tejhaun,Tejhaun Palmer,Palmer,,0,1000,1500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-152061,QB,Behren,Behren Morton,Morton,,0,1000,1500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
